_id,Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
3247,2007,Imperial,12,Urinary Tract Infection,153,115944,132,163.1,,,,,,
3248,2008,Imperial,12,Urinary Tract Infection,170,118550,143.4,174.3,,,,,,
3249,2009,Imperial,12,Urinary Tract Infection,200,121552,164.5,197.7,,,,,,
3250,2010,Imperial,12,Urinary Tract Infection,265,124055,213.6,254.4,,,,,,
3251,2011,Imperial,12,Urinary Tract Infection,220,125985,174.6,204.6,,,,,,
3252,2012,Imperial,12,Urinary Tract Infection,235,122385,192,213.7,,,,,,
3253,2013,Imperial,12,Urinary Tract Infection,184,122276,150.5,163,,,,,,
3254,2014,Imperial,12,Urinary Tract Infection,113,130127,86.8,97.6,,,,,,
3255,2015,Imperial,12,Urinary Tract Infection,102,92754,110,112.1,,,,,,
3256,2016,Imperial,12,Urinary Tract Infection,,,,,203,"127,819",158.8,134.2,,
3257,2017,Imperial,12,Urinary Tract Infection,,,,,213,"129,153",164.9,137.6,,
3258,2018,Imperial,12,Urinary Tract Infection,,,,,209,"129,174",161.8,132.8,,
3259,2019,Imperial,12,Urinary Tract Infection,,,,,166,"128,967",128.7,103.6,,
3260,2020,Imperial,12,Urinary Tract Infection,,,,,102,"127,731",79.9,65.9,,
3261,2021,Imperial,12,Urinary Tract Infection,,,,,105,"128,654",81.6,67.5,,
3262,2005,Imperial,13,Angina without Procedure,47,109478,42.9,51.1,,,,,,
3263,2006,Imperial,13,Angina without Procedure,42,112879,37.2,44,,,,,,
3264,2007,Imperial,13,Angina without Procedure,35,115944,30.2,35.4,,,,,,
3265,2008,Imperial,13,Angina without Procedure,30,118550,25.3,29.3,,,,,,
3266,2009,Imperial,13,Angina without Procedure,33,121552,27.1,31.1,,,,,,
3267,2010,Imperial,13,Angina without Procedure,43,124055,34.7,39.4,,,,,,
3268,2011,Imperial,13,Angina without Procedure,26,125985,20.6,23.4,,,,,,
3269,2012,Imperial,13,Angina without Procedure,19,122385,15.5,16.9,,,,,,
3270,2013,Imperial,13,Angina without Procedure,24,122276,19.6,21.1,,,,,,
3271,2014,Imperial,13,Angina without Procedure,28,130127,21.5,23.6,,,,,,
3272,2015,Imperial,13,Angina without Procedure,22,92754,23.7,24.6,,,,,,
3273,2005,Imperial,14,Uncontrolled Diabetes,9,109478,8.2,9,,,,,,
3274,2006,Imperial,14,Uncontrolled Diabetes,6,112879,5.3,5.8,,,,,,
3275,2007,Imperial,14,Uncontrolled Diabetes,6,115944,5.2,5.6,,,,,,
3276,2008,Imperial,14,Uncontrolled Diabetes,7,118550,5.9,6.4,,,,,,
3277,2009,Imperial,14,Uncontrolled Diabetes,7,121552,5.8,6.2,,,,,,
3278,2010,Imperial,14,Uncontrolled Diabetes,8,124055,6.4,6.9,,,,,,
3279,2011,Imperial,14,Uncontrolled Diabetes,10,125985,7.9,8.5,,,,,,
3280,2012,Imperial,14,Uncontrolled Diabetes,15,122385,12.3,12.8,,,,,,
3281,2013,Imperial,14,Uncontrolled Diabetes,6,122276,4.9,5.1,,,,,,
3282,2014,Imperial,14,Uncontrolled Diabetes,6,130127,4.6,4.8,,,,,,
3283,2015,Imperial,14,Uncontrolled Diabetes,7,92754,7.5,7.7,,,,,,
3284,2016,Imperial,14,Uncontrolled Diabetes,,,,,17,"127,819",13.3,9.8,,
3285,2017,Imperial,14,Uncontrolled Diabetes,,,,,25,"129,153",19.4,14.1,,
3286,2018,Imperial,14,Uncontrolled Diabetes,,,,,26,"129,174",20.1,14.6,,
3287,2019,Imperial,14,Uncontrolled Diabetes,,,,,17,"128,967",13.2,9.4,,
3288,2020,Imperial,14,Uncontrolled Diabetes,,,,,21,"127,731",16.4,11.8,,
3289,2021,Imperial,14,Uncontrolled Diabetes,,,,,18,"128,654",14,10.1,,
3290,2005,Imperial,15,Asthma in Younger Adults (Age 18-39),37,50336,73.5,76.9,,,,,,
3291,2006,Imperial,15,Asthma in Younger Adults (Age 18-39),15,51611,29.1,30.4,,,,,,
3292,2007,Imperial,15,Asthma in Younger Adults (Age 18-39),22,52653,41.8,43.7,,,,,,
3293,2008,Imperial,15,Asthma in Younger Adults (Age 18-39),15,53208,28.2,29.4,,,,,,
3294,2009,Imperial,15,Asthma in Younger Adults (Age 18-39),18,54128,33.3,34.6,,,,,,
3295,2010,Imperial,15,Asthma in Younger Adults (Age 18-39),24,54806,43.8,45.6,,,,,,
3296,2011,Imperial,15,Asthma in Younger Adults (Age 18-39),29,55730,52,54.5,,,,,,
3297,2012,Imperial,15,Asthma in Younger Adults (Age 18-39),21,52304,40.1,41.6,,,,,,
3298,2013,Imperial,15,Asthma in Younger Adults (Age 18-39),16,51958,30.8,31.9,,,,,,
3299,2014,Imperial,15,Asthma in Younger Adults (Age 18-39),17,55740,30.5,31.8,,,,,,
3300,2015,Imperial,15,Asthma in Younger Adults (Age 18-39),13,38406,33.8,34.9,,,,,,
3301,2016,Imperial,15,Asthma in Younger Adults (Age 18-39),,,,,12,"56,654",21.2,15.2,,
3302,2017,Imperial,15,Asthma in Younger Adults (Age 18-39),,,,,,,17.4,12.5,1,Cell suppressed for small numbers
3303,2018,Imperial,15,Asthma in Younger Adults (Age 18-39),,,,,12,"57,282",20.9,15,,
3304,2019,Imperial,15,Asthma in Younger Adults (Age 18-39),,,,,14,"56,856",24.6,17.6,,
3305,2020,Imperial,15,Asthma in Younger Adults (Age 18-39),,,,,,,10.7,7.6,1,Cell suppressed for small numbers
3306,2021,Imperial,15,Asthma in Younger Adults (Age 18-39),,,,,,,8.9,6.3,1,Cell suppressed for small numbers
3307,2005,Imperial,16,Lower-Extremity Amputation (Diabetes),27,109478,24.7,29.5,,,,,,
3308,2006,Imperial,16,Lower-Extremity Amputation (Diabetes),24,112879,21.3,25.3,,,,,,
3309,2007,Imperial,16,Lower-Extremity Amputation (Diabetes),19,115944,16.4,19.4,,,,,,
3310,2008,Imperial,16,Lower-Extremity Amputation (Diabetes),27,118550,22.8,26.5,,,,,,
3311,2009,Imperial,16,Lower-Extremity Amputation (Diabetes),28,121552,23,26.6,,,,,,
3312,2010,Imperial,16,Lower-Extremity Amputation (Diabetes),28,124055,22.6,25.8,,,,,,
3313,2011,Imperial,16,Lower-Extremity Amputation (Diabetes),26,125985,20.6,23.4,,,,,,
3314,2012,Imperial,16,Lower-Extremity Amputation (Diabetes),29,122385,23.7,25.8,,,,,,
3315,2013,Imperial,16,Lower-Extremity Amputation (Diabetes),24,122276,19.6,21,,,,,,
3316,2014,Imperial,16,Lower-Extremity Amputation (Diabetes),21,130127,16.1,17.7,,,,,,
3317,2015,Imperial,16,Lower-Extremity Amputation (Diabetes),20,92754,21.6,22.3,,,,,,
3318,2016,Imperial,16,Lower-Extremity Amputation (Diabetes),,,,,39,"127,819",30.5,22.1,,
3319,2017,Imperial,16,Lower-Extremity Amputation (Diabetes),,,,,35,"129,153",27.1,19.5,,
3320,2018,Imperial,16,Lower-Extremity Amputation (Diabetes),,,,,47,"129,174",36.4,26.1,,
3321,2019,Imperial,16,Lower-Extremity Amputation (Diabetes),,,,,39,"128,967",30.2,21.5,,
3322,2020,Imperial,16,Lower-Extremity Amputation (Diabetes),,,,,42,"127,731",32.9,23.1,,
3323,2021,Imperial,16,Lower-Extremity Amputation (Diabetes),,,,,47,"128,654",36.5,25.7,,
3324,2005,Imperial,90,Prevention Quality Overall Composite,1665,109478,1520.9,1839.9,,,,,,
3325,2006,Imperial,90,Prevention Quality Overall Composite,1409,112879,1248.2,1501.1,,,,,,
3326,2007,Imperial,90,Prevention Quality Overall Composite,1462,115944,1261,1503.8,,,,,,
3327,2008,Imperial,90,Prevention Quality Overall Composite,1442,118550,1216.4,1429.3,,,,,,
3328,2009,Imperial,90,Prevention Quality Overall Composite,1677,121552,1379.7,1604.9,,,,,,
3329,2010,Imperial,90,Prevention Quality Overall Composite,1865,124055,1503.4,1735,,,,,,
3330,2011,Imperial,90,Prevention Quality Overall Composite,1800,125985,1428.7,1629.3,,,,,,
3331,2012,Imperial,90,Prevention Quality Overall Composite,1887,122386,1541.8,1680.2,,,,,,
3332,2013,Imperial,90,Prevention Quality Overall Composite,1639,122276,1340.4,1429.6,,,,,,
3333,2014,Imperial,90,Prevention Quality Overall Composite,1334,130127,1025.2,1127.7,,,,,,
3334,2015,Imperial,90,Prevention Quality Overall Composite,1003,92754,1081.4,1098.1,,,,,,
3335,2016,Imperial,90,Overall Composite,,,,,"1,326","127,819",1037.4,821.5,,
3336,2017,Imperial,90,Overall Composite,,,,,"1,352","129,153",1046.8,820.9,,
3337,2018,Imperial,90,Overall Composite,,,,,"1,354","129,174",1048.2,812.1,,
3338,2019,Imperial,90,Overall Composite,,,,,"1,309","128,967",1015,775.7,,
3339,2020,Imperial,90,Overall Composite,,,,,975,"127,731",763.3,589.3,,
3340,2021,Imperial,90,Overall Composite,,,,,931,"128,654",723.6,559.4,,
3341,2005,Imperial,91,Prevention Quality Acute Composite,595,109478,543.5,671.5,,,,,,
3342,2006,Imperial,91,Prevention Quality Acute Composite,544,112879,481.9,591.7,,,,,,
3343,2007,Imperial,91,Prevention Quality Acute Composite,549,115944,473.5,575.7,,,,,,
3344,2008,Imperial,91,Prevention Quality Acute Composite,583,118550,491.8,588.1,,,,,,
3345,2009,Imperial,91,Prevention Quality Acute Composite,729,121552,599.7,709.1,,,,,,
3346,2010,Imperial,91,Prevention Quality Acute Composite,794,124055,640,750.2,,,,,,
3347,2011,Imperial,91,Prevention Quality Acute Composite,738,125985,585.8,676.2,,,,,,
3348,2012,Imperial,91,Prevention Quality Acute Composite,743,122385,607.1,666.2,,,,,,
3349,2013,Imperial,91,Prevention Quality Acute Composite,616,122276,503.8,539,,,,,,
3350,2014,Imperial,91,Prevention Quality Acute Composite,505,130127,388.1,430.5,,,,,,
3351,2015,Imperial,91,Prevention Quality Acute Composite,390,92754,420.5,425.1,,,,,,
3352,2016,Imperial,91,Acute Composite,,,,,531,"127,819",415.4,341.1,,
3353,2017,Imperial,91,Acute Composite,,,,,484,"129,153",374.7,303.8,,
3354,2018,Imperial,91,Acute Composite,,,,,478,"129,174",370,295.4,,
3355,2019,Imperial,91,Acute Composite,,,,,443,"128,967",343.5,269.4,,
3356,2020,Imperial,91,Acute Composite,,,,,260,"127,731",203.6,162.9,,
3357,2021,Imperial,91,Acute Composite,,,,,220,"128,654",171,137.1,,
3358,2005,Imperial,92,Prevention Quality Chronic Composite,1070,109478,977.4,1167.2,,,,,,
3359,2006,Imperial,92,Prevention Quality Chronic Composite,865,112879,766.3,910,,,,,,
3360,2007,Imperial,92,Prevention Quality Chronic Composite,913,115944,787.4,928.1,,,,,,
3361,2008,Imperial,92,Prevention Quality Chronic Composite,862,118550,727.1,845.3,,,,,,
3362,2009,Imperial,92,Prevention Quality Chronic Composite,948,121552,779.9,898.2,,,,,,
3363,2010,Imperial,92,Prevention Quality Chronic Composite,1071,124055,863.3,986.8,,,,,,
3364,2011,Imperial,92,Prevention Quality Chronic Composite,1062,125985,843,954.1,,,,,,
3365,2012,Imperial,92,Prevention Quality Chronic Composite,1144,122385,934.8,1014.4,,,,,,
3366,2013,Imperial,92,Prevention Quality Chronic Composite,1023,122276,836.6,890.5,,,,,,
3367,2014,Imperial,92,Prevention Quality Chronic Composite,829,130127,637.1,697.2,,,,,,
3368,2015,Imperial,92,Prevention Quality Chronic Composite,613,92754,660.9,673,,,,,,
3369,2016,Imperial,92,Chronic Composite,,,,,795,"127,819",622,486.8,,
3370,2017,Imperial,92,Chronic Composite,,,,,868,"129,153",672.1,521.4,,
3371,2018,Imperial,92,Chronic Composite,,,,,876,"129,174",678.2,520.3,,
3372,2019,Imperial,92,Chronic Composite,,,,,866,"128,967",671.5,508.7,,
3373,2020,Imperial,92,Chronic Composite,,,,,715,"127,731",559.8,427.2,,
3374,2021,Imperial,92,Chronic Composite,,,,,711,"128,654",552.6,422.2,,
3375,2016,Imperial,93,Diabetes Composite,,,,,205,"127,819",160.4,115.6,,
3376,2017,Imperial,93,Diabetes Composite,,,,,259,"129,153",200.5,144.2,,
3377,2018,Imperial,93,Diabetes Composite,,,,,245,"129,174",189.7,135.9,,
3378,2019,Imperial,93,Diabetes Composite,,,,,245,"128,967",190,135.6,,
3379,2020,Imperial,93,Diabetes Composite,,,,,261,"127,731",204.3,145.4,,
3380,2021,Imperial,93,Diabetes Composite,,,,,299,"128,654",232.4,165.5,,
3381,2005,Inyo,1,Diabetes Short-term Complications,7,14549,48.1,51,,,,,,
3382,2006,Inyo,1,Diabetes Short-term Complications,6,14456,41.5,43.8,,,,,,
3383,2007,Inyo,1,Diabetes Short-term Complications,4,14505,27.6,29.1,,,,,,
3384,2008,Inyo,1,Diabetes Short-term Complications,8,14485,55.2,58.4,,,,,,
3385,2009,Inyo,1,Diabetes Short-term Complications,6,14651,41,43.4,,,,,,
3386,2010,Inyo,1,Diabetes Short-term Complications,9,14670,61.3,65.1,,,,,,
3387,2011,Inyo,1,Diabetes Short-term Complications,5,14640,34.2,36.4,,,,,,
3388,2012,Inyo,1,Diabetes Short-term Complications,13,16277,79.9,79.7,,,,,,
3389,2013,Inyo,1,Diabetes Short-term Complications,4,16250,24.6,24.7,,,,,,
3390,2014,Inyo,1,Diabetes Short-term Complications,9,15730,57.2,58.7,,,,,,
3391,2015,Inyo,1,Diabetes Short-term Complications,6,12814,46.8,46,,,,,,
3392,2016,Inyo,1,Diabetes Short-term Complications,,,,,3,"14,211",21.1,22.6,,
3393,2017,Inyo,1,Diabetes Short-term Complications,,,,,7,"14,164",49.4,53,,
3394,2018,Inyo,1,Diabetes Short-term Complications,,,,,10,"14,208",70.4,75.7,,
3395,2019,Inyo,1,Diabetes Short-term Complications,,,,,13,"14,295",90.9,98,,
3396,2020,Inyo,1,Diabetes Short-term Complications,,,,,7,"15,043",46.5,50,,
3397,2021,Inyo,1,Diabetes Short-term Complications,,,,,12,"15,011",79.9,86.1,,
3398,2005,Inyo,2,Perforated Appendix,8,18,44.4,46.6,,,,,,
3399,2006,Inyo,2,Perforated Appendix,4,8,50,59,,,,,,
3400,2007,Inyo,2,Perforated Appendix,1,8,12.5,11.3,,,,,,
3401,2008,Inyo,2,Perforated Appendix,7,14,50,48.3,,,,,,
3402,2009,Inyo,2,Perforated Appendix,3,13,23.1,24.9,,,,,,
3403,2010,Inyo,2,Perforated Appendix,4,9,44.4,44.4,,,,,,
3404,2011,Inyo,2,Perforated Appendix,8,20,40,39,,,,,,
3405,2012,Inyo,2,Perforated Appendix,6,20,30,26.7,,,,,,
3406,2013,Inyo,2,Perforated Appendix,6,17,35.3,36.1,,,,,,
3407,2014,Inyo,2,Perforated Appendix,6,10,60,58,,,,,,
3408,2015,Inyo,2,Perforated Appendix,5,7,71.4,69.4,,,,,,
3409,2005,Inyo,3,Diabetes Long-term Complications,8,14549,55,46.8,,,,,,
3410,2006,Inyo,3,Diabetes Long-term Complications,12,14456,83,71.2,,,,,,
3411,2007,Inyo,3,Diabetes Long-term Complications,10,14505,68.9,59,,,,,,
3412,2008,Inyo,3,Diabetes Long-term Complications,12,14485,82.8,70.3,,,,,,
3413,2009,Inyo,3,Diabetes Long-term Complications,5,14651,34.1,29.1,,,,,,
3414,2010,Inyo,3,Diabetes Long-term Complications,9,14670,61.3,52.2,,,,,,
3415,2011,Inyo,3,Diabetes Long-term Complications,10,14640,68.3,57.8,,,,,,
3416,2012,Inyo,3,Diabetes Long-term Complications,5,16277,30.7,28.6,,,,,,
3417,2013,Inyo,3,Diabetes Long-term Complications,13,16250,80,73.8,,,,,,
3418,2014,Inyo,3,Diabetes Long-term Complications,15,15730,95.4,84.6,,,,,,
3419,2015,Inyo,3,Diabetes Long-term Complications,15,12814,117.1,111.3,,,,,,
3420,2016,Inyo,3,Diabetes Long-term Complications,,,,,10,"14,212",70.4,64.5,,
3421,2017,Inyo,3,Diabetes Long-term Complications,,,,,18,"14,164",127.1,116.6,,
3422,2018,Inyo,3,Diabetes Long-term Complications,,,,,15,"14,208",105.6,96.5,,
3423,2019,Inyo,3,Diabetes Long-term Complications,,,,,11,"14,295",76.9,70.3,,
3424,2020,Inyo,3,Diabetes Long-term Complications,,,,,17,"15,043",113,103.6,,
3425,2021,Inyo,3,Diabetes Long-term Complications,,,,,16,"15,011",106.6,97.7,,
3426,2005,Inyo,5,COPD or Asthma in Older Adults (Age 40+),22,10483,209.9,192.4,,,,,,
3427,2006,Inyo,5,COPD or Asthma in Older Adults (Age 40+),29,10399,278.9,260,,,,,,
3428,2007,Inyo,5,COPD or Asthma in Older Adults (Age 40+),23,10403,221.1,205.1,,,,,,
3429,2008,Inyo,5,COPD or Asthma in Older Adults (Age 40+),28,10395,269.4,248.3,,,,,,
3430,2009,Inyo,5,COPD or Asthma in Older Adults (Age 40+),29,10412,278.5,255.3,,,,,,
3431,2010,Inyo,5,COPD or Asthma in Older Adults (Age 40+),37,10398,355.8,325.4,,,,,,
3432,2011,Inyo,5,COPD or Asthma in Older Adults (Age 40+),29,10415,278.4,251.7,,,,,,
3433,2012,Inyo,5,COPD or Asthma in Older Adults (Age 40+),29,10342,280.4,251,,,,,,
3434,2013,Inyo,5,COPD or Asthma in Older Adults (Age 40+),22,10312,213.3,187.7,,,,,,
3435,2014,Inyo,5,COPD or Asthma in Older Adults (Age 40+),27,10497,257.2,230.1,,,,,,
3436,2015,Inyo,5,COPD or Asthma in Older Adults (Age 40+),21,7731,271.6,231.9,,,,,,
3437,2016,Inyo,5,COPD or Asthma in Older Adults (Age 40+),,,,,12,"10,051",119.4,117.9,,
3438,2017,Inyo,5,COPD or Asthma in Older Adults (Age 40+),,,,,15,"9,987",150.2,147.9,,
3439,2018,Inyo,5,COPD or Asthma in Older Adults (Age 40+),,,,,27,"9,965",270.9,263.6,,
3440,2019,Inyo,5,COPD or Asthma in Older Adults (Age 40+),,,,,26,"9,992",260.2,251.2,,
3441,2020,Inyo,5,COPD or Asthma in Older Adults (Age 40+),,,,,15,"10,512",142.7,139.7,,
3442,2021,Inyo,5,COPD or Asthma in Older Adults (Age 40+),,,,,12,"10,491",114.4,111.8,,
3443,2005,Inyo,7,Hypertension,3,14549,20.6,17.1,,,,,,
3444,2006,Inyo,7,Hypertension,3,14456,20.8,17.4,,,,,,
3445,2007,Inyo,7,Hypertension,2,14505,13.8,11.6,,,,,,
3446,2008,Inyo,7,Hypertension,3,14485,20.7,17.4,,,,,,
3447,2009,Inyo,7,Hypertension,3,14651,20.5,17.3,,,,,,
3448,2010,Inyo,7,Hypertension,1,14670,6.8,5.8,,,,,,
3449,2011,Inyo,7,Hypertension,2,14640,13.7,11.5,,,,,,
3450,2012,Inyo,7,Hypertension,2,16277,12.3,11.5,,,,,,
3451,2013,Inyo,7,Hypertension,1,16250,6.2,5.7,,,,,,
3452,2014,Inyo,7,Hypertension,1,15730,6.4,5.7,,,,,,
3453,2015,Inyo,7,Hypertension,3,12814,23.4,22.5,,,,,,
3454,2016,Inyo,7,Hypertension,,,,,1,"14,211",7,6.7,,
3455,2017,Inyo,7,Hypertension,,,,,5,"14,164",35.3,33.5,,
3456,2018,Inyo,7,Hypertension,,,,,2,"14,208",14.1,13.3,,
3457,2019,Inyo,7,Hypertension,,,,,4,"14,295",28,26.5,,
3458,2020,Inyo,7,Hypertension,,,,,0,"15,043",0,0,,
3459,2021,Inyo,7,Hypertension,,,,,2,"15,011",13.3,12.8,,
3460,2005,Inyo,8,Heart Failure,49,14549,336.8,247.9,,,,,,
3461,2006,Inyo,8,Heart Failure,38,14456,262.9,198.2,,,,,,
3462,2007,Inyo,8,Heart Failure,37,14505,255.1,191.6,,,,,,
3463,2008,Inyo,8,Heart Failure,27,14485,186.4,140.7,,,,,,
3464,2009,Inyo,8,Heart Failure,36,14651,245.7,185.6,,,,,,
3465,2010,Inyo,8,Heart Failure,27,14670,184,139.4,,,,,,
3466,2011,Inyo,8,Heart Failure,16,14640,109.3,80.7,,,,,,
3467,2012,Inyo,8,Heart Failure,22,16277,135.2,110.9,,,,,,
3468,2013,Inyo,8,Heart Failure,12,16250,73.8,59.5,,,,,,
3469,2014,Inyo,8,Heart Failure,22,15730,139.9,109,,,,,,
3470,2015,Inyo,8,Heart Failure,14,12814,109.3,89,,,,,,
3471,2016,Inyo,8,Heart Failure,,,,,8,"14,211",56.3,48.9,,
3472,2017,Inyo,8,Heart Failure,,,,,20,"14,164",141.2,122.1,,
3473,2018,Inyo,8,Heart Failure,,,,,21,"14,208",147.8,126.4,,
3474,2019,Inyo,8,Heart Failure,,,,,32,"14,295",223.9,189.5,,
3475,2020,Inyo,8,Heart Failure,,,,,29,"15,043",192.8,168.7,,
3476,2021,Inyo,8,Heart Failure,,,,,20,"15,011",133.2,116.1,,
3477,2005,Inyo,10,Dehydration,20,14549,137.5,106.4,,,,,,
3478,2006,Inyo,10,Dehydration,26,14457,179.8,142.3,,,,,,
3479,2007,Inyo,10,Dehydration,26,14505,179.2,141.4,,,,,,
3480,2008,Inyo,10,Dehydration,26,14485,179.5,142.2,,,,,,
3481,2009,Inyo,10,Dehydration,17,14651,116,92,,,,,,
3482,2010,Inyo,10,Dehydration,17,14670,115.9,92.1,,,,,,
3483,2011,Inyo,10,Dehydration,8,14640,54.6,42.5,,,,,,
3484,2012,Inyo,10,Dehydration,6,16277,36.9,31.4,,,,,,
3485,2013,Inyo,10,Dehydration,7,16250,43.1,36.2,,,,,,
3486,2014,Inyo,10,Dehydration,15,15730,95.4,77.9,,,,,,
3487,2015,Inyo,10,Dehydration,7,12814,54.6,46.4,,,,,,
3488,2005,Inyo,11,Community-Acquired Pneumonia,77,14549,529.2,405.4,,,,,,
3489,2006,Inyo,11,Community-Acquired Pneumonia,62,14457,428.9,335.8,,,,,,
3490,2007,Inyo,11,Community-Acquired Pneumonia,65,14505,448.1,349.8,,,,,,
3491,2008,Inyo,11,Community-Acquired Pneumonia,57,14485,393.5,308.4,,,,,,
3492,2009,Inyo,11,Community-Acquired Pneumonia,46,14651,314,246.3,,,,,,
3493,2010,Inyo,11,Community-Acquired Pneumonia,36,14670,245.4,193.1,,,,,,
3494,2011,Inyo,11,Community-Acquired Pneumonia,34,14640,232.2,178.9,,,,,,
3495,2012,Inyo,11,Community-Acquired Pneumonia,43,16277,264.2,223.6,,,,,,
3496,2013,Inyo,11,Community-Acquired Pneumonia,27,16250,166.2,138.3,,,,,,
3497,2014,Inyo,11,Community-Acquired Pneumonia,30,15730,190.7,154.3,,,,,,
3498,2015,Inyo,11,Community-Acquired Pneumonia,14,12814,109.3,92,,,,,,
3499,2016,Inyo,11,Community-Acquired Pneumonia,,,,,21,"14,211",147.8,120.5,,
3500,2017,Inyo,11,Community-Acquired Pneumonia,,,,,23,"14,164",162.4,131.9,,
3501,2018,Inyo,11,Community-Acquired Pneumonia,,,,,19,"14,208",133.7,107.4,,
3502,2019,Inyo,11,Community-Acquired Pneumonia,,,,,30,"14,295",209.9,167,,
3503,2020,Inyo,11,Community-Acquired Pneumonia,,,,,31,"15,043",206.1,169.2,,
3504,2021,Inyo,11,Community-Acquired Pneumonia,,,,,18,"15,011",119.9,98.1,,
3505,2005,Inyo,12,Urinary Tract Infection,5,14549,34.4,26.4,,,,,,
3506,2006,Inyo,12,Urinary Tract Infection,17,14456,117.6,92.5,,,,,,
3507,2007,Inyo,12,Urinary Tract Infection,17,14505,117.2,92.3,,,,,,
3508,2008,Inyo,12,Urinary Tract Infection,10,14485,69,55.1,,,,,,
3509,2009,Inyo,12,Urinary Tract Infection,21,14651,143.3,114.6,,,,,,
3510,2010,Inyo,12,Urinary Tract Infection,13,14670,88.6,71.1,,,,,,
3511,2011,Inyo,12,Urinary Tract Infection,27,14640,184.4,144.2,,,,,,
3512,2012,Inyo,12,Urinary Tract Infection,25,16277,153.6,130.8,,,,,,
3513,2013,Inyo,12,Urinary Tract Infection,24,16251,147.7,124,,,,,,
3514,2014,Inyo,12,Urinary Tract Infection,19,15730,120.8,99.2,,,,,,
3515,2015,Inyo,12,Urinary Tract Infection,13,12814,101.5,85.8,,,,,,
3516,2016,Inyo,12,Urinary Tract Infection,,,,,24,"14,211",168.9,143.7,,
3517,2017,Inyo,12,Urinary Tract Infection,,,,,17,"14,164",120,102.1,,
3518,2018,Inyo,12,Urinary Tract Infection,,,,,16,"14,208",112.6,95,,
3519,2019,Inyo,12,Urinary Tract Infection,,,,,35,"14,295",244.8,204.5,,
3520,2020,Inyo,12,Urinary Tract Infection,,,,,24,"15,043",159.5,139,,
3521,2021,Inyo,12,Urinary Tract Infection,,,,,16,"15,011",106.6,92.6,,
3522,2005,Inyo,13,Angina without Procedure,8,14549,55,45.2,,,,,,
3523,2006,Inyo,13,Angina without Procedure,5,14456,34.6,28.7,,,,,,
3524,2007,Inyo,13,Angina without Procedure,5,14505,34.5,28.5,,,,,,
3525,2008,Inyo,13,Angina without Procedure,3,14485,20.7,17,,,,,,
3526,2009,Inyo,13,Angina without Procedure,4,14651,27.3,22.6,,,,,,
3527,2010,Inyo,13,Angina without Procedure,3,14670,20.4,16.9,,,,,,
3528,2011,Inyo,13,Angina without Procedure,1,14640,6.8,5.6,,,,,,
3529,2012,Inyo,13,Angina without Procedure,3,16277,18.4,16.8,,,,,,
3530,2013,Inyo,13,Angina without Procedure,2,16250,12.3,11.1,,,,,,
3531,2014,Inyo,13,Angina without Procedure,1,15730,6.4,5.5,,,,,,
3532,2015,Inyo,13,Angina without Procedure,0,12814,0,0,,,,,,
3533,2005,Inyo,14,Uncontrolled Diabetes,1,14549,6.9,6.1,,,,,,
3534,2006,Inyo,14,Uncontrolled Diabetes,0,14456,0,0,,,,,,
3535,2007,Inyo,14,Uncontrolled Diabetes,0,14505,0,0,,,,,,
3536,2008,Inyo,14,Uncontrolled Diabetes,1,14485,6.9,6.1,,,,,,
3537,2009,Inyo,14,Uncontrolled Diabetes,0,14651,0,0,,,,,,
3538,2010,Inyo,14,Uncontrolled Diabetes,0,14670,0,0,,,,,,
3539,2011,Inyo,14,Uncontrolled Diabetes,0,14640,0,0,,,,,,
3540,2012,Inyo,14,Uncontrolled Diabetes,1,16277,6.1,5.9,,,,,,
3541,2013,Inyo,14,Uncontrolled Diabetes,0,16250,0,0,,,,,,
3542,2014,Inyo,14,Uncontrolled Diabetes,1,15730,6.4,5.9,,,,,,
3543,2015,Inyo,14,Uncontrolled Diabetes,1,12814,7.8,7.7,,,,,,
3544,2016,Inyo,14,Uncontrolled Diabetes,,,,,1,"14,211",7,6.8,,
3545,2017,Inyo,14,Uncontrolled Diabetes,,,,,5,"14,164",35.3,34.3,,
3546,2018,Inyo,14,Uncontrolled Diabetes,,,,,8,"14,208",56.3,54.3,,
3547,2019,Inyo,14,Uncontrolled Diabetes,,,,,4,"14,295",28,26.8,,
3548,2020,Inyo,14,Uncontrolled Diabetes,,,,,0,"15,043",0,0,,
3549,2021,Inyo,14,Uncontrolled Diabetes,,,,,2,"15,011",13.3,12.9,,
3550,2005,Inyo,15,Asthma in Younger Adults (Age 18-39),,,73.8,73.1,,,,,,
3551,2006,Inyo,15,Asthma in Younger Adults (Age 18-39),0,4057,0,0,,,,,,
3552,2007,Inyo,15,Asthma in Younger Adults (Age 18-39),0,4102,0,0,,,,,,
3553,2008,Inyo,15,Asthma in Younger Adults (Age 18-39),,,24.4,24.4,,,,,,
3554,2009,Inyo,15,Asthma in Younger Adults (Age 18-39),,,23.6,23.7,,,,,,
3555,2010,Inyo,15,Asthma in Younger Adults (Age 18-39),,,23.4,23.6,,,,,,
3556,2011,Inyo,15,Asthma in Younger Adults (Age 18-39),0,4225,0,0,,,,,,
